date,open,close,high,low,amount
2020-12-15,345.04,348.08,350.59,339.34,328120.14
2020-12-16,349.5,356.96,360.6,348.83,413021.46
2020-12-17,359.21,362.85,367.01,358.28,316460.76
2020-12-18,360.75,361.46,364.05,357.79,274777.17
2020-12-21,363.04,359.63,363.04,352.99,283689.34
2020-12-22,357.83,363.15,367.01,354.41,310714.53
2020-12-23,364.01,371.59,377.21,362.33,390546.6
2020-12-24,371.59,374.93,374.93,366.15,197783.11
2020-12-25,374.1,377.51,379.91,369.71,217071.94
2020-12-28,377.14,385.84,391.65,376.88,394785.73
2020-12-29,385.69,383.55,385.8,378.19,216552.2
2020-12-30,384.71,386.51,388.84,379.88,231644.06
2020-12-31,386.59,395.74,397.76,386.51,268671.76
2021-01-04,397.46,397.88,408.9,394.2,338826.8
2021-01-05,394.35,407.36,408.86,390.34,351148.01
2021-01-06,412.84,405.19,419.59,400.28,360203.38
2021-01-07,409.09,419.66,422.85,406.09,451400.52
2021-01-08,416.59,412.88,419.21,406.28,330690.48
2021-01-11,413.59,405.34,417.83,401.59,341891.87
2021-01-12,402.75,416.96,417.64,402.75,355295.86
2021-01-13,420.34,414.11,423.0,409.24,343487.39
2021-01-14,415.09,400.09,418.05,399.3,373815.28
2021-01-15,397.95,400.43,402.23,389.51,357438.23
2021-01-18,399.3,398.29,402.64,392.25,286771.8
2021-01-19,400.43,382.28,402.0,380.89,423078.07
2021-01-20,386.59,387.64,394.54,384.71,322023.27
2021-01-21,391.24,401.96,405.34,390.3,409301.71
2021-01-22,401.59,403.73,407.33,394.43,307755.82
2021-01-25,405.34,409.01,412.35,396.71,377359.92
2021-01-26,405.34,393.86,405.34,390.71,407670.26
2021-01-27,390.68,393.9,400.99,388.01,283268.51
2021-01-28,388.58,383.44,390.3,380.96,310572.14
2021-01-29,384.15,387.83,393.3,377.89,372465.08
2021-02-01,387.83,394.84,396.0,381.56,286062.71
2021-02-02,391.84,396.26,402.34,391.84,315443.55
2021-02-03,399.71,392.74,403.09,387.34,323955.36
2021-02-04,387.68,388.09,392.55,383.7,364864.02
2021-02-05,390.26,391.28,395.48,382.84,372623.93
2021-02-08,391.31,389.06,392.21,380.59,377435.63
2021-02-09,392.55,408.71,408.71,389.93,537122.47
2021-02-10,412.54,428.25,431.59,407.21,536799.07
2021-02-18,428.29,395.21,429.19,390.34,940429.08
2021-02-19,382.88,394.05,395.33,382.88,693877.09
2021-02-22,391.39,365.74,391.39,365.51,903986.09
2021-02-23,360.53,367.61,371.59,359.7,604755.31
2021-02-24,386.96,382.91,396.34,375.79,1003546.33
2021-02-25,382.46,378.86,385.8,371.96,416370.2
2021-02-26,371.59,375.64,380.93,367.91,601123.03
2021-03-01,376.84,376.58,383.96,370.95,370844.02
2021-03-02,382.35,377.29,385.99,374.21,473398.22
2021-03-03,374.33,377.18,378.04,369.71,330591.87
2021-03-04,372.41,363.71,373.76,361.99,446348.2
2021-03-05,354.98,362.21,365.1,349.2,409487.09
2021-03-08,358.46,347.21,363.0,346.99,488293.4
2021-03-09,344.03,334.05,344.96,332.96,568963.33
2021-03-10,341.59,340.31,344.06,334.28,473167.65
2021-03-11,343.76,348.9,350.96,339.71,408116.44
2021-03-12,348.98,348.94,356.7,346.13,323645.32
2021-03-15,344.63,335.21,344.74,330.34,490513.85
2021-03-16,335.63,336.26,337.95,332.4,349261.15
2021-03-17,334.13,341.85,342.64,331.69,370952.28
2021-03-18,345.26,351.75,352.84,344.59,347035.88
2021-03-19,345.34,346.5,351.34,343.05,305291.85
2021-03-22,345.3,339.26,347.33,335.21,314092.85
2021-03-23,339.26,332.1,339.49,330.6,369695.97
2021-03-24,332.21,332.89,335.89,331.31,235367.58
2021-03-25,330.6,329.14,332.21,323.96,247524.83
2021-03-26,330.71,334.13,335.96,326.44,310830.2
2021-03-29,333.94,332.1,335.85,330.34,294535.24
2021-03-30,333.56,335.85,339.68,330.75,351971.52
2021-03-31,337.09,334.95,337.76,331.28,273525.08
2021-04-01,334.09,346.95,348.64,333.34,352045.12
2021-04-02,347.21,353.25,358.46,344.96,291525.38
2021-04-06,353.44,343.01,355.46,341.59,257668.4
2021-04-07,343.01,336.79,343.43,333.64,299774.66
2021-04-08,336.0,336.64,337.54,333.9,182114.06
2021-04-09,337.76,328.28,337.76,327.49,322385.56
2021-04-12,327.71,323.96,331.31,322.84,252774.87
2021-04-13,322.65,321.68,325.91,319.54,213628.28
2021-04-14,322.73,327.08,328.95,322.43,210692.29
2021-04-15,327.08,327.64,330.34,322.69,174452.81
2021-04-16,327.71,326.21,328.84,322.46,153478.18
2021-04-19,326.59,332.85,334.5,322.84,267593.56
2021-04-20,330.64,330.26,332.21,326.7,231533.86
2021-04-21,326.59,325.09,328.46,324.71,251906.06
2021-04-22,325.16,327.53,327.68,322.88,230968.78
2021-04-23,328.16,341.06,341.59,327.56,451415.58
2021-04-26,342.49,326.7,345.34,326.25,418029.19
2021-04-27,326.48,329.29,332.7,323.59,190000.53
2021-04-28,330.34,332.4,332.96,326.89,179025.75
2021-04-29,334.31,339.45,342.53,333.6,298159.63
2021-04-30,344.21,327.23,344.21,325.84,582377.0
2021-05-06,320.25,317.44,325.73,317.18,491159.46
2021-05-07,316.84,308.14,317.4,307.84,437295.14
2021-05-10,310.95,319.09,323.59,310.95,549439.86
2021-05-11,315.94,320.36,322.84,313.8,273334.64
2021-05-12,322.46,316.35,322.46,313.28,273410.35
2021-05-13,312.04,308.4,313.46,307.84,329507.62
2021-05-14,308.96,313.24,313.73,302.66,304811.13
2021-05-17,315.34,320.59,324.15,314.89,418092.3
2021-05-18,325.84,318.49,326.59,316.09,268555.15
2021-05-19,315.53,316.58,318.19,313.46,225052.69
2021-05-20,322.84,329.21,329.81,317.48,735330.93
2021-05-21,330.71,332.4,338.21,329.85,502224.28
2021-05-24,336.45,334.84,337.84,330.15,360149.44
2021-05-25,337.73,338.89,342.34,335.36,417467.44
2021-05-26,341.21,342.83,345.3,335.78,360381.91
2021-05-27,345.3,341.21,345.45,339.45,296156.6
2021-05-28,338.89,336.08,338.93,334.09,387415.14
2021-05-31,336.71,330.34,336.71,325.61,523951.01
2021-06-01,330.0,327.23,330.0,324.04,473370.82
2021-06-02,330.23,330.6,330.6,326.85,342846.54
2021-06-03,330.6,324.71,331.88,323.03,416690.46
2021-06-04,322.76,323.96,326.85,319.46,283066.03
2021-06-07,324.04,320.4,324.11,318.04,277274.99
2021-06-08,320.85,317.55,322.35,316.09,320893.44
2021-06-09,318.49,315.94,319.8,314.48,251380.05
2021-06-10,316.35,315.23,317.25,313.35,320755.63
2021-06-11,315.23,309.98,315.98,308.14,465213.67
2021-06-15,309.49,307.13,311.85,302.48,445900.3
2021-06-16,309.6,313.73,314.7,306.98,449701.85
2021-06-17,314.48,307.95,314.96,307.35,299292.38
2021-06-18,307.46,309.23,310.76,303.08,388178.63
2021-06-21,309.3,302.48,309.34,299.36,477386.43
2021-06-22,302.1,299.78,305.78,298.28,410341.69
2021-06-23,299.51,306.86,307.31,297.6,434043.58
2021-06-24,311.85,306.98,311.85,305.14,287028.16
2021-06-25,308.36,306.86,309.15,304.65,412552.01
2021-06-28,306.9,307.01,309.6,304.35,306845.68
