date,close,symbol,name
2018-12-19,3983.76,sz000651,格力电器
2018-12-20,3971.79,sz000651,格力电器
2018-12-21,3950.62,sz000651,格力电器
2018-12-24,3960.75,sz000651,格力电器
2018-12-25,3933.13,sz000651,格力电器
2018-12-26,3933.13,sz000651,格力电器
2018-12-27,3914.72,sz000651,格力电器
2018-12-28,3915.64,sz000651,格力电器
2019-01-02,3925.76,sz000651,格力电器
2019-01-03,3936.81,sz000651,格力电器
2019-01-04,4004.01,sz000651,格力电器
2019-01-07,3988.36,sz000651,格力电器
2019-01-08,3975.47,sz000651,格力电器
2019-01-09,4083.18,sz000651,格力电器
2019-01-10,4106.2,sz000651,格力电器
2019-01-11,4103.44,sz000651,格力电器
2019-01-14,4098.83,sz000651,格力电器
2019-01-15,4200.1,sz000651,格力电器
2019-01-16,4248.89,sz000651,格力电器
2019-01-17,4189.05,sz000651,格力电器
2019-01-18,4217.59,sz000651,格力电器
2019-01-21,4264.54,sz000651,格力电器
2019-01-22,4212.06,sz000651,格力电器
2019-01-23,4237.84,sz000651,格力电器
2019-01-24,4255.33,sz000651,格力电器
2019-01-25,4303.2,sz000651,格力电器
2019-01-28,4339.11,sz000651,格力电器
2019-01-29,4413.67,sz000651,格力电器
2019-01-30,4376.85,sz000651,格力电器
2019-01-31,4473.51,sz000651,格力电器
2019-02-01,4492.84,sz000651,格力电器
2019-02-11,4595.03,sz000651,格力电器
2019-02-12,4608.84,sz000651,格力电器
2019-02-13,4635.53,sz000651,格力电器
2019-02-14,4712.86,sz000651,格力电器
2019-02-15,4565.57,sz000651,格力电器
2019-02-18,4688.93,sz000651,格力电器
2019-02-19,4737.72,sz000651,格力电器
2019-02-20,4771.78,sz000651,格力电器
2019-02-21,4757.97,sz000651,格力电器
2019-02-22,4769.02,sz000651,格力电器
2019-02-25,4927.36,sz000651,格力电器
2019-02-26,4821.49,sz000651,格力电器
2019-02-27,4786.51,sz000651,格力电器
2019-02-28,4809.52,sz000651,格力电器
2019-03-01,4895.14,sz000651,格力电器
2019-03-04,4979.83,sz000651,格力电器
2019-03-05,5019.42,sz000651,格力电器
2019-03-06,5021.26,sz000651,格力电器
2019-03-07,4896.06,sz000651,格力电器
2019-03-08,4782.83,sz000651,格力电器
2019-03-11,4862.0,sz000651,格力电器
2019-03-12,4809.52,sz000651,格力电器
2019-03-13,4823.33,sz000651,格力电器
2019-03-14,4870.28,sz000651,格力电器
2019-03-15,5004.69,sz000651,格力电器
2019-03-18,5094.9,sz000651,格力电器
2019-03-19,5031.38,sz000651,格力电器
2019-03-20,4976.15,sz000651,格力电器
2019-03-21,4944.85,sz000651,格力电器
2019-03-22,4934.72,sz000651,格力电器
2019-03-25,4827.01,sz000651,格力电器
2019-03-26,4809.52,sz000651,格力电器
2019-03-27,4883.17,sz000651,格力电器
2019-03-28,4885.93,sz000651,格力电器
2019-03-29,5031.38,sz000651,格力电器
2019-04-09,5465.9,sz000651,格力电器
2019-04-10,5943.68,sz000651,格力电器
2019-04-11,5766.93,sz000651,格力电器
2019-04-12,5707.09,sz000651,格力电器
2019-04-15,5905.02,sz000651,格力电器
2019-04-16,6046.79,sz000651,格力电器
2019-04-17,5974.98,sz000651,格力电器
2019-04-18,6162.78,sz000651,格力电器
2019-04-19,6669.1,sz000651,格力电器
2019-04-22,6313.76,sz000651,格力电器
2019-04-23,6299.95,sz000651,格力电器
2019-04-24,6200.52,sz000651,格力电器
2019-04-25,6001.68,sz000651,格力电器
2019-04-26,5857.15,sz000651,格力电器
2019-04-29,5961.17,sz000651,格力电器
2019-04-30,5801.91,sz000651,格力电器
2019-05-06,5429.08,sz000651,格力电器
2019-05-07,5603.07,sz000651,格力电器
2019-05-08,5502.72,sz000651,格力电器
2019-05-09,5453.93,sz000651,格力电器
2019-05-10,5771.53,sz000651,格力电器
2019-05-13,5665.67,sz000651,格力电器
2019-05-14,5597.54,sz000651,格力电器
2019-05-15,5835.05,sz000651,格力电器
2019-05-16,5858.07,sz000651,格力电器
2019-05-17,5730.11,sz000651,格力电器
2019-05-20,5623.32,sz000651,格力电器
2019-05-21,5789.94,sz000651,格力电器
2019-05-22,5748.52,sz000651,格力电器
